Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
2/26/2013 22:42:57,1,Stephen P. Heyneman,Review of other research,Peabody Journal of Education,2011,English,,Global,"Primary, Secondary",Comparative,Qualitative,"Social Capital, Human Capital","Corruption, Social Cohesion, Human Right",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various class sizes discussed,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,,Journal Article,"Classroom teacher, Other K-12 teachers, Professional tutor, University professor",Addresses both benefits and concerns,,,,,No
5/25/2013 21:41:59,2,,"Original empirical research, Policy analysis",Compare,2010,English,"Azerbaijan, Bosnia and Herzegovina, Croatia, Georgia, Lithuania, Mongolia, Poland, Slovakia, and Ukraine, Kazakhstan, Kyrgyzstan, and Tajikistan","Central Asia, Eastern Europe","Primary, Secondary",Comparative,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Journal Article,"Classroom teacher, Other K-12 teachers, Professional tutor",,,,"Students, N/A: documents","SES, rural/urban",No
2/18/2014 16:35:50,3,,Review of other research,Compare,2006,English,,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Global Trend, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure, Teacher pressure",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,N/A [documents],futures decided on school achievement--and the private tutoring--type and quality received,No
2/18/2014 17:02:21,4,,Original empirical research,Economics of Education Review,2003,English,Hong Kong,East Asia,Secondary,Single-country / case,Mixed-methods,Cultural model,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure",,Peggy,Journal Article,"Other K-12 teachers, Retired teacher, Institution / Professional tutor",Addresses both benefits and concerns,"mentions the Confusion heritage culture, which stresses effort for self-improvement rather than acceptance of in-born abilities and existing circumstances (p. 618) - ""such cultural traits are arguably one reason why tutoring has been particularly evident in East Asia"" p.618","data collected by author--Secondary 1-7, 630 pupils","Teachers who do not tutor, Teachers who tutor, Tutors who are not teachers, Parents / household, Students, general public, principals, vice-principals, and school inspectors",,Yes
2/24/2014 1:13:37,5,,Original empirical research,Economic Review,1994,English,Sri Lanka,South Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Teacher pressure",,Olga,Journal Article,"Other K-12 teachers, Parent or family member, Community member / volunteer",Addresses both benefits and concerns,,,"Tutors who are not teachers, Parents / household, Students",socio-economic,No
6/3/2013 14:40:37,6,,Original empirical research,Educational Evaluation and Policy Analysis,2001,English,,Global / Worldwide,Primary,Comparative,Quantitative,World Culture,"Related to curriculum coverage / ed. quality / exam prep, Global Trend",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home",Not defined,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Make up for perceived failure in the mainstream system / school",,Iveta,Journal Article,not defined,Discusses benefits,"""there is clear evidence that shadow education is part of the institutional character of mass schooling."" (p. 12)

""the data illustrate the general notion that national and cross-national patterns of shadow education lead to an important institutional perspective on modern schooling. The widespread prevalence of shadow education and the intensity of its use in schooling processes of students and families dramatically underscores the degree to which education increasingly dominates the structure of childhood and child-rearing... As schooling becomes  the primary institution for the generation of knowledge and its transmission to generations of children in the form of achievement, one may expect the continued growth in outside-school activities that are specially aimed at child's performance within schools. (p. 13)

As mass schooling as a world  norm continues to intensify the importance of schooling, shadow education itself becomes an institutionalized component of mass education that grows and expands. (p. 14)

""shadow education loosens the boundaries between public control of education and private education activities"" (p. 14)

""...education policymakers should appreciate the ability of widespread shadow education to add a significant non-public component to the process without the production of full-scale private schools. This has the potential to change the governance structure of education by introducing private services to a wider host of families and students, hence merging families and private educational resources into new institutional arrangements"" (14).
",TIMSS,Students,,Yes
6/5/2013 23:22:06,7,Lee,Original empirical research,Sociology of Education,2011,English,South Korea,East Asia,"Primary, Secondary",Single-case,Quantitative,Institutional approach,"Related to curriculum coverage / ed. quality / exam prep, Equity, Efficency",Subjects taught in school,Outside school (e.g. at the teacher's home),"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Professional tutor,Addresses both benefits and concerns,,,,,
6/5/2013 14:21:37,8,,Original empirical research,Research in Sociology of Education,2002,English,Kenya,Sub-Saharan Africa,Secondary,Single-case,Quantitative,"Social Capital, Cultural Capital","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive,Make up for perceived failure in the mainstream system / school",,Peggy,Book Chapter,Professional tutor,Addresses both benefits and concerns,"""anecdotal evidence suggests that shadow education has become a common phenomenon in developing countries, especially those that utilize central examination systems” p.139",data collected by author: 600 Kenyan households,Parents/household,the use of social and cultural capital to counteract financial capital deficits,Yes
2/25/2014 8:11:50,9,,Original empirical research,KDI School of Public Policy and Management,2004,English,South Korea,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Not defined,Make up for perceived failure in the mainstream system / school,,Damian Wyman,Working Paper,Not defined,Raises concerns,,Korea National Assessment of Educational Achievement (NAEA) 2001,"Teachers who do not tutor, Students",,Yes
2/23/2014 15:03:05,10,,Original empirical research,Social Forces,2010,English,United States,U.S. & Canada,"Secondary, Tertiary",Single-country / case,Quantitative,"Social Capital, Cultural Capital","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home",Not defined,Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Iveta,Journal Article,Not defined,Raises concerns,High SES families are more likely to use tutoring (p. 456); discussion of the role of SATs in getting into universities,US National Education Longitudinal Survey,Students,"SES, race",Yes
